Labels,Translation,Decision
"Event, Ritual",A picture from Al-Aqsa Mosque a few days ago,real
"Vehicle, Mural, Art",The suffering of the Palestinians at the Qalandiya checkpoint while they were going to pray at the Aqsa Mosque this morning,fake
"Transport, Tram, Mode of transport, Vehicle, Public transport, Iron, Track, Urban area, Metropolis, Rolling stock",The train that runs through Jaffa Street,real
"Landmark, Metropolitan area, City, Intersection, Metropolis, Human settlement, Traffic, Night, Urban area, Street",Pictures from the atmosphere in the city of Hebron,real
"Sky, Evening, Morning, Sunset, Dusk, Horizon, Sunrise, Afterglow, Sunlight, Cloud",Sunset from the suburb of Rayhan Ramallah,real
"Food, Ingredient, Mixed nuts, Nut, Produce, Cuisine, Plant, Nuts & seeds, Dish, Superfood",Nuts from Gaza City,real
"Building, Property, Pink, House, Home, Architecture, Flower, Plant, Facade, real estate",Our Palestine from an account,fake
"Hair, Beauty, Child, Hairstyle, Hair accessory, Child model, Headband, Headpiece, Headgear, Brown hair",Palestinian beauty created,fake
"Black, White, Black-and-white, Monochrome, Wall, Art, Monochrome photography, Street art, Font, Line",Yes ... on this earth what deserves life ... martyrdom ... patience .... on the land called Palestine,fake 
"Fire, Heat, Flame, Games, Fictional character, Demon, Illustration",Tea on firewood,real
"Body of water, Water resources, Water, Waterfall, Nature, Natural landscape, Wilderness, Sky, Natural environment, Beauty",Baniyas Falls,real
"Fruit tree, Tree, Plant, Fruit, Citrus, Orange, Bird, Adaptation, Food, Pomelo",Your morning is Palestinian,fake
"Alley, Street, Road, Town, Neighbourhood, Infrastructure, Tree, Wall, Urban area, Architecture",The road to Bab Al-Khalil-Jerusalem,real
"Water transportation, Marina, Harbor, Boat, Sea, Port, Vehicle, Boating, Water, Fishing vessel",Gaza port,real
"Food, Dish, Cuisine, Naan, Ingredient, Flatbread, Chapati, Baked goods, Indian cuisine, Roti",Morning baking Taboon morning oil and thyme,real
"Grape, Grapevine family, Plant, Flower, Vitis, Seedless fruit, Vine, Flowering plant, Sultana, Tree",Grape,real
"Dome, Landmark, Holy places, Human settlement, Town, City, Architecture, Building, Byzantine architecture, Urban area",Nablus,real
"Sky, People in nature, Horizon, Sea, Sunset, Ocean, Beach, Sun, Sunrise, Morning",Sunset from Deir El Balah beach,real
